city,state,natural_hs,natural_college,foreign_hs,foreign_college
Bloomington,Minnesota,0.96,0.42,0.75,0.38
Brooklyn Park,Minnesota,0.95,0.33,0.76,0.28
Duluth,Minnesota,0.93,0.32,0.84,0.51
Minneapolis,Minnesota,0.94,0.51,0.64,0.43
Plymouth,Minnesota,0.98,0.55,0.93,0.73
Rochester,Minnesota,0.96,0.42,0.8,0.55
St. Paul,Minnesota,0.94,0.44,0.6,0.33
Jackson,Mississippi,0.84,0.26,0.68,0.47
Columbia,Missouri,0.94,0.55,0.9,0.75
Independence,Missouri,0.89,0.18,0.6,0.25
Kansas City,Missouri,0.9,0.32,0.67,0.34
Lee's Summit,Missouri,0.97,0.43,0.9,0.41
O'Fallon,Missouri,0.95,0.36,0.92,0.65
St. Joseph,Missouri,0.86,0.2,0.76,0.15
St. Louis,Missouri,0.84,0.3,0.71,0.47
Springfield,Missouri,0.89,0.26,0.71,0.41
Billings,Montana,0.93,0.31,0.86,0.26
Lincoln,Nebraska,0.96,0.37,0.69,0.41
Omaha,Nebraska,0.93,0.35,0.51,0.41
Enterprise,Nevada,0.94,0.32,0.84,0.38
Henderson,Nevada,0.94,0.3,0.85,0.43
North Las Vegas,Nevada,0.89,0.17,0.55,0.21
Paradise,Nevada,0.91,0.23,0.7,0.23
Reno,Nevada,0.93,0.31,0.62,0.35
Sparks,Nevada,0.93,0.24,0.57,0.25
Spring Valley,Nevada,0.93,0.24,0.79,0.28
Sunrise Manor,Nevada,0.83,0.11,0.53,0.16
Manchester,New Hampshire,0.9,0.28,0.7,0.3
Nashua,New Hampshire,0.91,0.34,0.77,0.54
Camden,New Jersey,0.75,0.1,0.63,0.14
Clifton,New Jersey,0.93,0.33,0.84,0.33
Elizabeth,New Jersey,0.86,0.17,0.68,0.15
Jersey City,New Jersey,0.89,0.38,0.84,0.59
Newark,New Jersey,0.8,0.13,0.63,0.23
Paterson,New Jersey,0.82,0.11,0.7,0.16
Toms River,New Jersey,0.93,0.29,0.78,0.43
Trenton,New Jersey,0.81,0.12,0.53,0.19
Las Cruces,New Mexico,0.9,0.35,0.58,0.45
Rio Rancho,New Mexico,0.95,0.28,0.75,0.41
Albany,New York,0.91,0.37,0.78,0.45
Buffalo,New York,0.85,0.25,0.68,0.4
New Rochelle,New York,0.93,0.49,0.69,0.4
Rochester,New York,0.83,0.26,0.7,0.37
Syracuse,New York,0.83,0.25,0.66,0.51
Yonkers,New York,0.92,0.36,0.72,0.36
Asheville,North Carolina,0.92,0.46,0.85,0.39
Cary,North Carolina,0.98,0.62,0.87,0.72
Concord,North Carolina,0.9,0.3,0.68,0.42
Durham,North Carolina,0.92,0.49,0.64,0.58
Fayetteville,North Carolina,0.92,0.25,0.82,0.31
Greensboro,North Carolina,0.92,0.38,0.68,0.36
Greenville,North Carolina,0.92,0.37,0.82,0.56
High Point,North Carolina,0.89,0.3,0.65,0.41
Raleigh,North Carolina,0.95,0.51,0.7,0.45
Wilmington,North Carolina,0.92,0.41,0.6,0.43
Winston-Salem,North Carolina,0.9,0.35,0.5,0.43
Fargo,North Dakota,0.96,0.38,0.83,0.55
Akron,Ohio,0.87,0.2,0.63,0.4
Cincinnati,Ohio,0.86,0.31,0.79,0.56
Cleveland,Ohio,0.79,0.15,0.69,0.41
Dayton,Ohio,0.82,0.16,0.63,0.37
Parma,Ohio,0.92,0.2,0.78,0.21
Toledo,Ohio,0.86,0.17,0.75,0.41
Broken Arrow,Oklahoma,0.95,0.32,0.79,0.38
